id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1555027388337209345,1555027388337209345,2022-08-04 07:36:35 +0430,2022-08-04,07:36:35,+0430,15115280,palmerreport,Palmer Report,,"This ignores Biden’s overall success in bringing gas prices down significantly. Biden tried a number of tactics around the world, and enough of them worked. As is so often the case with CNN these says, this headline is dishonestly out of context.",en,[],[],[],11,96,315,[],[],https://twitter.com/PalmerReport/status/1555027388337209345,False,https://twitter.com/mattegancnn/status/1554881386896670729,0,,Los Angeles,,,,,,[],,,,
1555026580501569536,1555026580501569536,2022-08-04 07:33:22 +0430,2022-08-04,07:33:22,+0430,16664681,latimes,Los Angeles Times,,President Biden on Wednesday signed an executive order that lays the groundwork for Medicaid to help women seeking abortions to travel between states to obtain access to the procedure  https://t.co/LTUuT4qZHI  https://t.co/9ujKY3kgkj,en,[],['https://www.latimes.com/world-nation/story/2022-08-03/biden-signs-executive-order-to-protect-travel-for-abortion'],[],4,10,57,[],[],https://twitter.com/latimes/status/1555026580501569536,False,,1,https://pbs.twimg.com/amplify_video_thumb/1555026319804715009/img/BoVHauB0swQqZSwX.jpg,Los Angeles,,,,,,[],,,,
1555016741255729152,1555016741255729152,2022-08-04 06:54:16 +0430,2022-08-04,06:54:16,+0430,1254867032035586048,johnhackerla,john,,New Biden’s electric car  https://t.co/coBoT2gmrj,en,[],[],[],53,193,505,[],[],https://twitter.com/johnhackerla/status/1555016741255729152,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1555016484048384000/pu/img/lPzJuFgAR3_D2zmE.jpg,Los Angeles,,,,,,[],,,,
1555012467327086592,1555012467327086592,2022-08-04 06:37:17 +0430,2022-08-04,06:37:17,+0430,341190477,therickydavila,Ricky Davila,,I’ll never regret my vote for Hillary Clinton in 2016 just like I’ll never regret voting for President Biden in 2020. I’m damn proud to have voted for both of them.,en,[],[],[],98,429,2921,[],[],https://twitter.com/TheRickyDavila/status/1555012467327086592,False,,0,,Los Angeles,,,,,,[],,,,
1555005138225377280,1554994275296989184,2022-08-04 06:08:10 +0430,2022-08-04,06:08:10,+0430,1290696356194000896,artvalley818_,Art TakingBack 🇺🇸,,@POTUS By taxing anyone who makes over $30k?,en,[],[],[],28,48,824,[],[],https://twitter.com/ArtValley818_/status/1555005138225377280,False,,0,,Los Angeles,,,,,,"[{'screen_name': 'POTUS', 'name': 'President Biden', 'id': '1349149096909668363'}]",,,,
1555004783773175808,1554972940046925824,2022-08-04 06:06:45 +0430,2022-08-04,06:06:45,+0430,1290696356194000896,artvalley818_,Art TakingBack 🇺🇸,,@POTUS $6.35 where I’m at. Its gone down like 50 fucking cents,en,[],[],[],12,20,277,[],[],https://twitter.com/ArtValley818_/status/1555004783773175808,False,,0,,Los Angeles,,,,,,"[{'screen_name': 'POTUS', 'name': 'President Biden', 'id': '1349149096909668363'}]",,,,
1555003406653485056,1555003406653485056,2022-08-04 06:01:17 +0430,2022-08-04,06:01:17,+0430,758701597107032065,derekjgrossman,Derek J. Grossman,,"We may be at the turning point Beijing craves wrt US policy on Taiwan. Senate poised to pass a bill that would upgrade US-Taiwan security ties. But Biden admin is opposed, would rather keep quiet. Aftermath of Pelosi’s visit is already too much to stomach.  https://t.co/ceaPVY63K3",en,[],['https://www.bloomberg.com/news/articles/2022-08-03/white-house-lobbies-democrats-against-bid-to-deepen-taiwan-ties'],[],10,13,32,[],[],https://twitter.com/DerekJGrossman/status/1555003406653485056,False,,0,,Los Angeles,,,,,,[],,,,
1554996317272715264,1554985470072963072,2022-08-04 05:33:07 +0430,2022-08-04,05:33:07,+0430,1250920251887366144,edwardrussl,Edward,,@POTUS  https://t.co/PubsN54xxK,qme,[],['https://twitter.com/edwardrussl/status/1554995982193942528?s=21&t=oKFVkUFNGCpevX0vlnF5Cg'],[],3,10,66,[],[],https://twitter.com/edwardrussl/status/1554996317272715264,False,https://twitter.com/edwardrussl/status/1554995982193942528?s=21&t=oKFVkUFNGCpevX0vlnF5Cg,0,,Los Angeles,,,,,,"[{'screen_name': 'POTUS', 'name': 'President Biden', 'id': '1349149096909668363'}]",,,,
1554995820109238273,1554994275296989184,2022-08-04 05:31:08 +0430,2022-08-04,05:31:08,+0430,1254867032035586048,johnhackerla,john,,@POTUS  https://t.co/RtmfQuzV9D,qme,[],[],[],4,13,83,[],[],https://twitter.com/johnhackerla/status/1554995820109238273,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1553076901291311104/pu/img/2C31SLs1RsL2kDhe.jpg,Los Angeles,,,,,,"[{'screen_name': 'POTUS', 'name': 'President Biden', 'id': '1349149096909668363'}]",,,,
1554994464921247744,1554985470072963072,2022-08-04 05:25:45 +0430,2022-08-04,05:25:45,+0430,1092037021432897537,errolwebber,Errol Webber,,"@POTUS Congress introduced the Inflation Reduction Act, which is really just one more ploy to tax Americans and spend endlessly on nonsense.  At some point we need to quit asking who needs to pay more taxes, and focus on where the heck all of this money is going!  Stop the madness!",en,[],[],[],6,46,259,[],[],https://twitter.com/ErrolWebber/status/1554994464921247744,False,,0,,Los Angeles,,,,,,"[{'screen_name': 'POTUS', 'name': 'President Biden', 'id': '1349149096909668363'}]",,,,
1554994319072829442,1554994319072829442,2022-08-04 05:25:10 +0430,2022-08-04,05:25:10,+0430,82489457,alexpadilla4ca,Alex Padilla,,"The student loan payment pause expires at the end of the month, leaving millions of young people in financial limbo.    President Biden, we need to extend the pause and #CancelStudentDebt.",en,[],[],[],10,42,183,['cancelstudentdebt'],[],https://twitter.com/AlexPadilla4CA/status/1554994319072829442,False,,0,,Los Angeles,,,,,,[],,,,
1554987376128057344,1554985470072963072,2022-08-04 04:57:35 +0430,2022-08-04,04:57:35,+0430,1254867032035586048,johnhackerla,john,,@POTUS  https://t.co/zL4qS1i8pq,qme,[],[],['https://pbs.twimg.com/media/FZRsxu3VsAEccsN.jpg'],4,43,371,[],[],https://twitter.com/johnhackerla/status/1554987376128057344,False,,1,https://pbs.twimg.com/media/FZRsxu3VsAEccsN.jpg,Los Angeles,,,,,,[],,,,
1554978527954468864,1554978527954468864,2022-08-04 04:22:25 +0430,2022-08-04,04:22:25,+0430,1494528299518803976,pamelahensley22,Pamela Hensley,,Biden is giving $80 billion in new funding to the IRS. They are coming after Trump supporters.,en,[],[],[],71,230,560,[],[],https://twitter.com/PamelaHensley22/status/1554978527954468864,False,,0,,Los Angeles,,,,,,[],,,,
1554975085840179200,1554975085840179200,2022-08-04 04:08:45 +0430,2022-08-04,04:08:45,+0430,16664681,latimes,Los Angeles Times,,President Biden on Wednesday signed an executive order that lays the groundwork for Medicaid to help women seeking abortions to travel between states to obtain access to the procedure.   https://t.co/LTUuT4qZHI,en,[],['https://www.latimes.com/world-nation/story/2022-08-03/biden-signs-executive-order-to-protect-travel-for-abortion'],[],7,27,81,[],[],https://twitter.com/latimes/status/1554975085840179200,False,,0,,Los Angeles,,,,,,[],,,,
1554974034244186112,1554974034244186112,2022-08-04 04:04:34 +0430,2022-08-04,04:04:34,+0430,1400560497536032770,suiter_la,L.A.,,"President Biden got pummeled by the media for a year, then comes out swinging with all kinds of victories. Afghanistan bookended the year nicely. The media will continue to do its usual, but the voters are rising to the occasion.  We aren't there yet, but the compass is true.",en,[],[],[],2,11,47,[],[],https://twitter.com/Suiter_LA/status/1554974034244186112,False,,0,,Los Angeles,,,,,,[],,,,
1554972650660716544,1554972650660716544,2022-08-04 03:59:04 +0430,2022-08-04,03:59:04,+0430,18839937,popehat,SomewhatProblematicCrossExaminationHat,,"Speaking of this being Alex Jones’ America, I see a lot of dim dupes trumpeting that @AOC is worth $29 million now because some talking head said so. Last year they were yelling that she was worth $1 million. Biden’s inflation is pummeling even propaganda for morons.",en,"[{'screen_name': 'aoc', 'name': 'alexandria ocasio-cortez', 'id': '138203134'}]",[],[],6,74,1106,[],[],https://twitter.com/Popehat/status/1554972650660716544,False,,0,,Los Angeles,,,,,,[],,,,
1554967424960606209,1554816306439983105,2022-08-04 03:38:18 +0430,2022-08-04,03:38:18,+0430,739960272224276482,proudpatriot247,Doug 🇺🇸,,@POTUS  https://t.co/8oLzOQCdtP,qme,[],[],['https://pbs.twimg.com/media/FZRaoe5VsAUaWBj.jpg'],2,29,109,[],[],https://twitter.com/ProudPatriot247/status/1554967424960606209,False,,1,https://pbs.twimg.com/media/FZRaoe5VsAUaWBj.jpg,Los Angeles,,,,,,[],,,,
1554964183543734273,1554945028786716672,2022-08-04 03:25:25 +0430,2022-08-04,03:25:25,+0430,728102354151559168,hamill_law,Julie Hamill,,"@JDHaltigan @DrPanMD, Barbara Ferrer, Leana Wen (although she seems to have moved back into reality), Greggggs, Newsom, Biden.",en,[],[],[],8,6,78,[],[],https://twitter.com/hamill_law/status/1554964183543734273,False,,0,,Los Angeles,,,,,,"[{'screen_name': 'JDHaltigan', 'name': 'J.D. Haltigan, PhD 🏒👨\u200d💻', 'id': '327800646'}]",,,,
1554927712006987781,1554927712006987781,2022-08-04 01:00:30 +0430,2022-08-04,01:00:30,+0430,32871086,kylegriffin1,Kyle Griffin,,President Biden has signed an executive order that paves the way for Medicaid to pay for abortion services for people having to travel out of state.,en,[],[],[],133,2612,20139,[],[],https://twitter.com/kylegriffin1/status/1554927712006987781,False,,0,,Los Angeles,,,,,,[],,,,
1554926958135345153,1554926958135345153,2022-08-04 00:57:30 +0430,2022-08-04,00:57:30,+0430,731167584,ronbrownstein,Ronald Brownstein,,“Polls indicate that many college-educated center-right voters have soured on Biden. Yet Rs have chosen nominees suited less to recapturing socially moderate white-collar voters than to energizing Trump’s base thru culture-war appeals like support of near-total abortion bans.”,en,[],[],[],4,7,26,[],[],https://twitter.com/RonBrownstein/status/1554926958135345153,False,https://twitter.com/ronbrownstein/status/1554926449328623617,0,,Los Angeles,,,,,,[],,,,
